Season,Date,Time,Status,Team1,Score1,Team2,Score2,Venue,Match-Results
Season 6,"Sunday, 07 October",20:00 (IST),Match 1 - Completed ,Tamil Thalaivas,42,Patna Pirates,26,"Jawaharlal Nehru Indoor Stadium, Chennai",Tamil Thalaivas beat Patna Pirates (42-26)
Season 6,"Sunday, 07 October",21:00 (IST),Match 2 - Completed ,Puneri Paltan,32,U Mumba,32,"Jawaharlal Nehru Indoor Stadium, Chennai",Match Tied
Season 6,"Monday, 08 October",20:00 (IST),Match 3 - Completed ,Puneri Paltan,34,Haryana Steelers,22,"Jawaharlal Nehru Indoor Stadium, Chennai",Puneri Paltan beat Haryana Steelers (34-22)
Season 6,"Monday, 08 October",21:00 (IST),Match 4 - Completed ,Tamil Thalaivas,32,U.P. Yoddha,37,"Jawaharlal Nehru Indoor Stadium, Chennai",U.P. Yoddha beat Tamil Thalaivas (37-32)
Season 6,"Tuesday, 09 October",20:00 (IST),Match 5 - Completed ,Dabang Delhi K.C.,32,Gujarat Fortunegiants,32,"Jawaharlal Nehru Indoor Stadium, Chennai",Match Tied
Season 6,"Tuesday, 09 October",21:00 (IST),Match 6 - Completed ,Tamil Thalaivas,28,Telugu Titans,33,"Jawaharlal Nehru Indoor Stadium, Chennai",Telugu Titans beat Tamil Thalaivas (33-28)
Season 6,"Wednesday, 10 October",20:00 (IST),Match 7 - Completed ,U Mumba,39,Jaipur Pink Panthers,32,"Jawaharlal Nehru Indoor Stadium, Chennai",U Mumba beat Jaipur Pink Panthers (39-32)
Season 6,"Wednesday, 10 October",21:00 (IST),Match 8 - Completed ,Tamil Thalaivas,37,Bengaluru Bulls,48,"Jawaharlal Nehru Indoor Stadium, Chennai",Bengaluru Bulls beat Tamil Thalaivas (48-37)
Season 6,"Thursday, 11 October",20:00 (IST),Match 9 - Completed ,U.P. Yoddha,41,Patna Pirates,43,"Jawaharlal Nehru Indoor Stadium, Chennai",Patna Pirates beat U.P. Yoddha (43-41)
Season 6,"Thursday, 11 October",21:00 (IST),Match 10 - Completed ,Tamil Thalaivas,27,Bengal Warriors,36,"Jawaharlal Nehru Indoor Stadium, Chennai",Bengal Warriors beat Tamil Thalaivas (36-27)
