Season,Date,Time,Status,Team1,Score1,Team2,Score2,Venue,Match-Results
Season 7,"Saturday, 20 July",19:30 (IST),Match 1 - Completed ,Telugu Titans,25,U Mumba,31,"Gachibowli Indoor Stadium, Hyderabad",U Mumba beat Telugu Titans (31-25)
Season 7,"Saturday, 20 July",20:30 (IST),Match 2 - Completed ,Bengaluru Bulls,34,Patna Pirates,32,"Gachibowli Indoor Stadium, Hyderabad",Bengaluru Bulls Beat Patna Pirates  (34-32 )
Season 7,"Sunday, 21 July",19:30 (IST),Match 3 - Completed ,Bengaluru Bulls,24,Gujarat Fortunegiants,42,"Gachibowli Indoor Stadium, Hyderabad",Gujarat Fortunegiants Beat Bengaluru Bulls  (42-24 )
Season 7,"Sunday, 21 July",20:30 (IST),Match 4 - Completed ,Telugu Titans,26,Tamil Thalaivas,39,"Gachibowli Indoor Stadium, Hyderabad",Tamil Thalaivas Beat Telugu Titans  (39-26 )
Season 7,"Monday, 22 July",19:30 (IST),Match 5 - Completed ,U Mumba,23,Jaipur Pink Panthers,42,"Gachibowli Indoor Stadium, Hyderabad",Jaipur Pink Panthers Beat U Mumba  (42-23 )
Season 7,"Monday, 22 July",20:30 (IST),Match 6 - Completed ,Puneri Paltan,24,Haryana Steelers,34,"Gachibowli Indoor Stadium, Hyderabad",Haryana Steelers Beat Puneri Paltan  (34-24 )
Season 7,"Wednesday, 24 July",19:30 (IST),Match 7 - Completed ,U.P. Yoddha,17,Bengal Warriors,48,"Gachibowli Indoor Stadium, Hyderabad",Bengal Warriors Beat U.P. Yoddha  (48-17 )
Season 7,"Wednesday, 24 July",20:30 (IST),Match 8 - Completed ,Telugu Titans,33,Dabang Delhi K.C.,34,"Gachibowli Indoor Stadium, Hyderabad",Dabang Delhi K.C. Beat Telugu Titans  (34-33 )
Season 7,"Thursday, 25 July",19:30 (IST),Match 9 - Completed ,Dabang Delhi K.C.,30,Tamil Thalaivas,29,"Gachibowli Indoor Stadium, Hyderabad",Dabang Delhi K.C. Beat Tamil Thalaivas  (30-29 )
Season 7,"Friday, 26 July",19:30 (IST),Match 10 - Completed ,U.P. Yoddha,19,Gujarat Fortunegiants,44,"Gachibowli Indoor Stadium, Hyderabad",Gujarat Fortunegiants Beat U.P. Yoddha  (44-19 )
Season 7,"Friday, 26 July",20:30 (IST),Match 11 - Completed ,Telugu Titans,22,Patna Pirates,34,"Gachibowli Indoor Stadium, Hyderabad",Patna Pirates Beat Telugu Titans  (34-22 )
