Season_Name,Metrics,Player_Name,Team_Name,Total_matches_played,Points,Player_type
SEASON 7, Total Points,Pawan Kumar Sehrawat,bengaluru bulls,19,256,Raider
SEASON 7, Total Points,Pardeep Narwal,patna pirates,19,243,Raider
SEASON 7, Total Points,Naveen Kumar,dabang delhi,19,243,Raider
SEASON 7, Total Points,Maninder Singh,bengal warriors,19,192,Raider
SEASON 7, Total Points,Siddharth Sirish Desai,telugu titans,18,177,Raider
SEASON 7, Total Points,Deepak Niwas Hooda,jaipur pink,20,158,All Rounder
SEASON 7, Total Points,Vikash Kandola,haryana steelers,16,157,Raider
SEASON 7, Total Points,Manjeet,puneri paltan,20,131,Raider
SEASON 7, Total Points,Rohit Gulia,gujarat fortunegiants,20,127,All Rounder
SEASON 7, Total Points,Rahul Chaudhari,tamil thalaivas,19,125,Raider
SEASON 7, Total Points,Shrikant Jadhav,up yoddha,18,117,Raider
SEASON 7, Total Points,Pankaj Mohite,puneri paltan,16,113,Raider
SEASON 7, Total Points,Abhishek Singh,u mumba,16,109,Raider
SEASON 7, Total Points,Chandran Ranjit,dabang delhi,18,104,Raider
SEASON 7, Total Points,K. Prapanjan,bengal warriors,18,101,Raider
SEASON 7, Total Points,Vinay,haryana steelers,19,96,Raider
SEASON 7, Total Points,Mohammad Esmaeil Nabibakhsh,bengal warriors,19,95,All Rounder
SEASON 7, Total Points,Rohit Kumar,bengaluru bulls,17,92,Raider
SEASON 7, Total Points,V. Ajith Kumar,tamil thalaivas,16,91,Raider
SEASON 7, Total Points,Sachin Tanwar,gujarat fortunegiants,16,85,Raider
SEASON 7, Total Points,Arjun Deshwal,u mumba,16,78,Raider
SEASON 7, Total Points,Sandeep Kumar Dhull,jaipur pink,20,68,"Defender, left corner"
SEASON 7, Total Points,More GB,gujarat fortunegiants,17,64,Raider
SEASON 7, Total Points,Sumit,up yoddha,18,63,"Defender, left corner"
SEASON 7, Total Points,Surender Gill,up yoddha,15,62,Raider
SEASON 7, Total Points,Vishal Bhardwaj,telugu titans,18,61,Defender
SEASON 7, Total Points,Nitin Tomar,puneri paltan,13,60,Raider
SEASON 7, Total Points,Fazel Atrachali,u mumba,18,59,"Defender, left corner"
SEASON 7, Total Points,Prashanth Kumar Rai,haryana steelers,13,58,Raider
SEASON 7, Total Points,Sandeep Narwal,u mumba,18,58,All Rounder
SEASON 7, Total Points,Ajay Thakur,tamil thalaivas,13,58,Raider
SEASON 7, Total Points,Naveen,haryana steelers,14,58,Raider
SEASON 7, Total Points,Sonu Jaglan,gujarat fortunegiants,15,56,Raider
SEASON 7, Total Points,Baldev Singh,bengal warriors,19,56,"Defender, right corner"
SEASON 7, Total Points,Deepak Narwal,jaipur pink,17,56,Raider
SEASON 7, Total Points,Ravinder Pahal,dabang delhi,19,55,"Defender, right corner"
SEASON 7, Total Points,Nilesh Salunke,jaipur pink,17,55,Raider
SEASON 7, Total Points,PO Surjeet Singh,puneri paltan,19,53,"Defender, right cover"
SEASON 7, Total Points,Farhad Rahimi Milaghardan,telugu titans,18,52,All Rounder
SEASON 7, Total Points,Neeraj Kumar,patna pirates,19,51,"Defender, right cover"
SEASON 7, Total Points,Nitesh Kumar,up yoddha,18,51,Defender
SEASON 7, Total Points,Nitin Rawal,jaipur pink,15,51,All Rounder
SEASON 7, Total Points,Rinku Narwal,bengal warriors,19,51,Defender
SEASON 7, Total Points,Jang Kun Lee,patna pirates,13,50,Raider
SEASON 7, Total Points,Surinder Singh,u mumba,18,49,Defender
SEASON 7, Total Points,Vijay,dabang delhi,18,49,All Rounder
SEASON 7, Total Points,Jaideep,patna pirates,19,48,"Defender, left corner"
SEASON 7, Total Points,Parvesh Bhainswal,gujarat fortunegiants,20,48,"Defender, left cover"
SEASON 7, Total Points,Saurabh Nandal,bengaluru bulls,18,48,"Defender, left corner"
SEASON 7, Total Points,Sunil Kumar,gujarat fortunegiants,18,47,Defender
SEASON 7, Total Points,Rishank Devadiga,up yoddha,14,47,Raider
SEASON 7, Total Points,Monu Goyat,up yoddha,10,46,Raider
SEASON 7, Total Points,Rohit Baliyan,u mumba,15,46,Raider
SEASON 7, Total Points,Mahender Singh,bengaluru bulls,16,46,"Defender, left cover"
SEASON 7, Total Points,Sunil,haryana steelers,17,46,"Defender, right corner"
SEASON 7, Total Points,Rajnish,telugu titans,10,45,Raider
SEASON 7, Total Points,Athul MS,u mumba,14,45,Raider
SEASON 7, Total Points,Suraj Desai,telugu titans,12,45,Raider
SEASON 7, Total Points,Joginder Singh Narwal,dabang delhi,19,45,"Defender, left corner"
SEASON 7, Total Points,Dharmaraj Cheralathan,haryana steelers,17,44,"Defender, right and left corner"
SEASON 7, Total Points,Hadi Oshtorak,patna pirates,19,43,All Rounder
SEASON 7, Total Points,Amit Sheoran,bengaluru bulls,19,43,Defender
SEASON 7, Total Points,Vishal,jaipur pink,14,41,All Rounder
SEASON 7, Total Points,Manjeet Chhillar,tamil thalaivas,15,41,All Rounder
SEASON 7, Total Points,Ravi Kumar,haryana steelers,17,40,"Defender, right cover"
SEASON 7, Total Points,Abozar Mohajermighani,telugu titans,18,40,Defender
SEASON 7, Total Points,Sumit Singh,bengaluru bulls,15,39,Raider
SEASON 7, Total Points,Vikas Kale,haryana steelers,18,38,"Defender, right cover"
SEASON 7, Total Points,Mohammad Esmaeil Maghsoudlou Mahalli,patna pirates,17,38,Raider
SEASON 7, Total Points,Amit Kumar,puneri paltan,13,37,Raider
SEASON 7, Total Points,Ran Singh,tamil thalaivas,18,37,All Rounder
SEASON 7, Total Points,Amit Hooda,jaipur pink,14,37,"Defender, right corner"
SEASON 7, Total Points,Mohit Chhillar,tamil thalaivas,18,37,"Defender, right corner"
SEASON 7, Total Points,Monu,patna pirates,19,36,Raider
SEASON 7, Total Points,Jadhav Balasaheb Shahaji,puneri paltan,18,35,"Defender, right cover"
SEASON 7, Total Points,Sukesh Hegde,bengal warriors,12,34,Raider
SEASON 7, Total Points,Girish Maruti Ernak,puneri paltan,15,32,"Defender, left corner"
SEASON 7, Total Points,Ashu Singh,up yoddha,18,32,"Defender, right cover"
SEASON 7, Total Points,Jeeva Kumar,bengal warriors,18,31,"Defender, right and left cover"
SEASON 7, Total Points,Meraj Sheykh,dabang delhi,12,31,All Rounder
SEASON 7, Total Points,Rakesh Gowda,telugu titans,9,31,Raider
SEASON 7, Total Points,Shabeer Bappu,tamil thalaivas,14,29,Raider
SEASON 7, Total Points,Vikas Jaglan,patna pirates,19,28,All Rounder
SEASON 7, Total Points,Anil Kumar,dabang delhi,15,27,"Defender, left cover"
SEASON 7, Total Points,Pawan Kumar Kadian,puneri paltan,6,25,Raider
SEASON 7, Total Points,Amit,up yoddha,18,25,"Defender, left cover"
SEASON 7, Total Points,Vishal Mane,dabang delhi,19,24,"Defender, right cover"
SEASON 7, Total Points,C. Arun,telugu titans,18,23,"Defender, left cover"
SEASON 7, Total Points,Pankaj,gujarat fortunegiants,9,21,All Rounder
SEASON 7, Total Points,Banty,bengaluru bulls,11,21,Raider
SEASON 7, Total Points,Sushil Gulia,jaipur pink,7,20,Raider
SEASON 7, Total Points,Ajinkya Ashok Pawar,jaipur pink,14,19,Raider
SEASON 7, Total Points,Shubham Shinde,puneri paltan,13,18,"Defender, right corner"
SEASON 7, Total Points,Amit Kumar,puneri paltan,6,18,All Rounder
SEASON 7, Total Points,Mohit Sehrawat,bengaluru bulls,13,17,"Defender, right cover"
SEASON 7, Total Points,Harendra Kumar,u mumba,16,17,"Defender, left cover"
SEASON 7, Total Points,Hadi Tajik,puneri paltan,12,17,"Defender, right corner"
SEASON 7, Total Points,Vineet Sharma,tamil thalaivas,11,16,Raider
SEASON 7, Total Points,Ruturaj Shivaji Koravi,gujarat fortunegiants,15,15,Defender
SEASON 7, Total Points,Sumit Malik,gujarat fortunegiants,14,15,"Defender, left corner"
SEASON 7, Total Points,Ajeet,tamil thalaivas,14,14,"Defender, right cover"
SEASON 7, Total Points,Santhapanaselvam,jaipur pink,8,14,All Rounder
SEASON 7, Total Points,Sagar B Krishna,puneri paltan,12,14,All Rounder
SEASON 7, Total Points,Selvamani K,haryana steelers,7,13,Raider
SEASON 7, Total Points,Amit Kumar,telugu titans,9,13,Raider
SEASON 7, Total Points,Ankit,gujarat fortunegiants,12,13,"Defender, right corner"
SEASON 7, Total Points,Sushant Sail,puneri paltan,9,12,Raider
SEASON 7, Total Points,Sachin Narwal,jaipur pink,12,12,All Rounder
SEASON 7, Total Points,Pavan T. R.,jaipur pink,15,12,"Defender, right cover"
SEASON 7, Total Points,Surender Singh,up yoddha,4,11,Raider
SEASON 7, Total Points,Dong Geon Lee,u mumba,4,10,Raider
SEASON 7, Total Points,Vinod Kumar,gujarat fortunegiants,9,10,All Rounder
SEASON 7, Total Points,Sagar,tamil thalaivas,10,10,"Defender, right corner"
SEASON 7, Total Points,Sunil Siddhgavali,jaipur pink,14,9,Defender
SEASON 7, Total Points,Armaan,telugu titans,6,9,All Rounder
SEASON 7, Total Points,Victor Onyango Obiero,tamil thalaivas,3,8,All Rounder
SEASON 7, Total Points,Emad Sedaghatnia,puneri paltan,2,8,Raider
