team_name,team_url_link
Bengal Warriors,https://www.prokabaddi.com/teams/bengal-warriors-profile-4
Bengaluru Bulls,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1
Dabang Delhi K.C.,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2
Gujarat Fortunegiants,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31
Haryana Steelers,https://www.prokabaddi.com/teams/haryana-steelers-profile-28
Jaipur Pink Panthers,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3
Patna Pirates,https://www.prokabaddi.com/teams/patna-pirates-profile-6
Puneri Paltan,https://www.prokabaddi.com/teams/puneri-paltan-profile-7
Tamil Thalaivas,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29
Telugu Titans,https://www.prokabaddi.com/teams/telugu-titans-profile-8
U Mumba,https://www.prokabaddi.com/teams/u-mumba-profile-5
U.P. Yoddha,https://www.prokabaddi.com/teams/up-yoddha-profile-30
